time="2020-08-28 08:37:07" level=info msg="| 200 |       971.7µs |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 08:38:48" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 08:39:44" level=info msg="| 200 |      1.0031ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 08:53:55" level=error msg="runtime error: index out of range [3] with length 3" name=zhh
time="2020-08-28 08:53:55" level=info msg="| 200 |      2.0047ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 08:56:59" level=error msg="runtime error: index out of range [3] with length 3" name=zhh
time="2020-08-28 08:56:59" level=info msg="| 200 |      3.0068ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 09:00:51" level=error msg="runtime error: index out of range [3] with length 3" name=zhh
time="2020-08-28 09:00:51" level=info msg="| 200 |      4.0116ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 09:11:01" level=info msg="| 200 |      2.0059ms |       127.0.0.1 | POST | /v1.0/testinsert |"
time="2020-08-28 09:12:40" level=info msg="| 200 |      2.0053ms |       127.0.0.1 | POST | /v1.0/testinsert |"
time="2020-08-28 09:22:27" level=info msg="| 200 |      1.0019ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 09:23:27" level=info msg="| 200 |      1.0028ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 10:42:21" level=info msg="| 200 |      2.0047ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 10:42:57" level=info msg="| 200 |      1.0022ms |       127.0.0.1 | POST | /v1.0/sel |"
time="2020-08-28 10:43:09" level=error msg="记录一下日志Error" name=hanyun
time="2020-08-28 10:43:09" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /v1.0/log |"
time="2020-08-28 10:43:24" level=info msg="| 200 |    4.0061193s |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 10:47:01" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 10:48:26" level=info msg="| 200 |    4.0059708s |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 10:48:35" level=info msg="| 200 |      1.0028ms |       127.0.0.1 | POST | /v1.0/all |"
time="2020-08-28 10:55:27" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /v2.0/kk55kk |"
time="2020-08-28 10:58:07" level=info msg="| 200 |      1.0025ms |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 11:04:53" level=info msg="| 404 |      1.0025ms |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 11:04:55" level=info msg="| 404 |            0s |       127.0.0.1 | POST | /v1.0/red |"
time="2020-08-28 11:05:16" level=info msg="| 404 |            0s |       127.0.0.1 | POST | /api/v1.0/kk55kk |"
time="2020-08-28 11:05:47" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v2.0/kk55kk |"
time="2020-08-28 11:08:02" level=info msg="| 200 |      1.0031ms |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:05" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:06" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:06" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:42" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:43" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:08:47" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/all |"
time="2020-08-28 11:09:29" level=info msg="| 200 |      1.0034ms |       127.0.0.1 | POST | /api/v1.0/all |"
time="2020-08-28 11:09:31" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/all |"
time="2020-08-28 11:09:34" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:23:02" level=info msg="| 200 |      1.0035ms |       127.0.0.1 | POST | /api/v1.0/sel |"
time="2020-08-28 11:23:06" level=info msg="| 200 |            0s |       127.0.0.1 | POST | /api/v1.0/all |"
time="2020-08-28 13:53:03" level=info msg="| 200 |      3.0082ms |       127.0.0.1 | POST | /api/v1.0/add |"
time="2020-08-28 13:54:31" level=info msg="| 400 |            0s |       127.0.0.1 | POST | /api/v1.0/add |"
